REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.2.02.16.01.0002,5.2.02.16.001.00002,Belanja Modal Alat Peraga Percontohan,1.3.02.16.01.0002,2026,#REF!,,SSH,5.2.02.16.001.00002 - Belanja Modal Alat Peraga Percontohan
5.2.02.16.01.0003,5.2.02.16.001.00003,Belanja Modal Alat Peraga Pelatihan dan Percontohan Lainnya,1.3.02.16.01.0003,2026,#REF!,,SSH,5.2.02.16.001.00003 - Belanja Modal Alat Peraga Pelatihan dan Percontohan Lainnya
0,5.2.02.17,Belanja Modal Peralatan Proses/Produksi,,2026,,,,5.2.02.17 - Belanja Modal Peralatan Proses/Produksi
5.2.02.17.01,5.2.02.17.001,Belanja Modal Unit Peralatan Proses/Produksi,,2026,,,,5.2.02.17.001 - Belanja Modal Unit Peralatan Proses/Produksi
5.2.02.17.01.0001,5.2.02.17.001.00001,Belanja Modal Liquid-Liquid Contractor Equipment,1.3.02.17.01.0001,2026,,,SSH,5.2.02.17.001.00001 - Belanja Modal Liquid-Liquid Contractor Equipment
5.2.02.17.01.0002,5.2.02.17.001.00002,Belanja Modal Solid-Solid Mixing Equipment,1.3.02.17.01.0002,2026,,,SSH,5.2.02.17.001.00002 - Belanja Modal Solid-Solid Mixing Equipment
5.2.02.17.01.0003,5.2.02.17.001.00003,Belanja Modal Solid-Solid Screening Equipment,1.3.02.17.01.0003,2026,,,SSH,5.2.02.17.001.00003 - Belanja Modal Solid-Solid Screening Equipment
5.2.02.17.01.0004,5.2.02.17.001.00004,Belanja Modal Solid-Solid Classifier,1.3.02.17.01.0004,2026,,,SSH,5.2.02.17.001.00004 - Belanja Modal Solid-Solid Classifier
5.2.02.17.01.0005,5.2.02.17.001.00005,Belanja Modal Solid-Liquid Mixing Equipment,1.3.02.17.01.0005,2026,,,SSH,5.2.02.17.001.00005 - Belanja Modal Solid-Liquid Mixing Equipment
5.2.02.17.01.0006,5.2.02.17.001.00006,Belanja Modal Solid Liquid Crystallization Equipment,1.3.02.17.01.0006,2026,,,SSH,5.2.02.17.001.00006 - Belanja Modal Solid Liquid Crystallization Equipment
5.2.02.17.01.0007,5.2.02.17.001.00007,Belanja Modal Ion Exchange Absortion Equipment,1.3.02.17.01.0007,2026,,,SSH,5.2.02.17.001.00007 - Belanja Modal Ion Exchange Absortion Equipment
5.2.02.17.01.0008,5.2.02.17.001.00008,Belanja Modal Leaching Equipment,1.3.02.17.01.0008,2026,,,SSH,5.2.02.17.001.00008 - Belanja Modal Leaching Equipment
5.2.02.17.01.0009,5.2.02.17.001.00009,Belanja Modal Gravity Sedimentation Equipment,1.3.02.17.01.0009,2026,,,SSH,5.2.02.17.001.00009 - Belanja Modal Gravity Sedimentation Equipment
5.2.02.17.01.0010,5.2.02.17.001.00010,Belanja Modal Solid Liquid Filtering Equipment,1.3.02.17.01.0010,2026,,,SSH,5.2.02.17.001.00010 - Belanja Modal Solid Liquid Filtering Equipment
5.2.02.17.01.0011,5.2.02.17.001.00011,Belanja Modal Centrifuge for Solid Liquid,1.3.02.17.01.0011,2026,,,SSH,5.2.02.17.001.00011 - Belanja Modal Centrifuge for Solid Liquid
